#host-protein-ID,NCBI-gene-ID,disease-ID,disease-ID-NCI,disease-name
21,1,803,2736,Amyotrophic Lateral Sclerosis
21,1,870,13080,Down Syndrome
21,1,360,17636,Glioblastoma
25,10,616860,2871,Anemia
25,10,180300,3873,Rheumatoid Arthritis
25,10,600807,4096,Asthma
25,10,209010,4153,Atherosclerosis
25,10,109650,4943,Behcet Syndrome
25,10,616445,6840,Candidiasis
25,10,144700,7134,Renal Cell Carcinoma
25,10,275355,7137,Squamous cell carcinoma
25,10,2014,8925,Cleft Palate
25,10,618481,11053,Deafness
25,10,612227,11849,Diabetes Mellitus
25,10,618357,14544,Epilepsy
25,10,360,17636,Glioblastoma
25,10,399,20179,Huntington Disease
25,10,603813,20443,Hypercholesterolemia
25,10,601626,23418,leukemia
25,10,605027,24299,Lymphoma
25,10,2495,25286,Meningioma
25,10,156240,25500,Mesothelioma
25,10,29073,26764,Multiple Myeloma
25,10,618414,26848,Myopathy
25,10,601634,27794,Neural Tube Defects
25,10,168600,30567,Parkinson Disease
25,10,260950,31099,Periodontitis
25,10,175510,32584,polyps
25,10,181500,36341,Schizophrenia
25,10,3389,41296,Tuberculosis
25,10,618398,79772,T-Cell Lymphoma
25,10,611597,86543,Cataract
25,10,70567,206698,Cholangiocarcinoma
25,10,127750,497327,Dementia
25,10,155240,549473,Thyroid carcinoma
25,10,600263,850666,helicobacter pylori infection
25,10,615083,1527249,Colorectal Cancer
25,10,610947,1956346,Coronary Artery Disease
102,100,612079,2170,Alopecia
102,100,803,2736,Amyotrophic Lateral Sclerosis
102,100,98375,2880,Autoimmune hemolytic anemia
102,100,180300,3873,Rheumatoid Arthritis
102,100,600807,4096,Asthma
102,100,70589,6287,Bronchopulmonary Dysplasia
102,100,191,9207,Cockayne Syndrome
102,100,176600,11265,Presenile dementia
102,100,612227,11849,Diabetes Mellitus
102,100,129840,13604,Edema
102,100,131400,14457,Eosinophilia
102,100,228400,15967,Fever
102,100,379,18203,Chronic granulomatous disease
102,100,399,20179,Huntington Disease
102,100,99927,20217,Hydatidiform Mole
102,100,507,23281,Leishmaniasis
102,100,601626,23418,leukemia
102,100,673,24530,Malaria
102,100,615848,25202,melanoma
102,100,618221,25362,Mental Retardation
102,100,618178,27726,Nephrotic Syndrome
102,100,613886,28754,Obesity
102,100,171000,30848,Peyronie Disease
102,100,767,31036,Polyarteritis Nodosa
102,100,177100,33774,Pruritus
102,100,610910,34050,Pulmonary Alveolar Proteinosis
102,100,614979,38002,Splenomegaly
102,100,192310,42384,Vasculitis
102,100,906,43194,Wiskott-Aldrich Syndrome
102,100,618398,79772,T-Cell Lymphoma
102,100,183660,85110,Severe Combined Immunodeficiency
102,100,600084,85662,Macrocytosis
102,100,351,268233,GALACTOSIALIDOSIS
102,100,277,392607,Severe combined immunodeficiency due to adenosine deaminase deficiency
102,100,31112,392784,Dermatofibrosarcoma Protuberans
102,100,3002,398650,Immune thrombocytopenic purpura
102,100,127750,497327,Dementia
102,100,615083,1527249,Colorectal Cancer
102,100,610947,1956346,Coronary Artery Disease
102,100,39041,2700553,Omenn Syndrome
102,100,3080,3714756,Intellectual Disability
817,1000,360,17636,Glioblastoma
817,1000,615848,25202,melanoma
817,1000,29073,26764,Multiple Myeloma
817,1000,613886,28754,Obesity
817,1000,668,29463,Osteosarcoma
817,1000,26790,33822,Pseudomyxoma Peritonei
817,1000,610947,1956346,Coronary Artery Disease
7370,10000,803,2736,Amyotrophic Lateral Sclerosis
7370,10000,144700,7134,Renal Cell Carcinoma
7370,10000,275355,7137,Squamous cell carcinoma
7370,10000,618357,14544,Epilepsy
7370,10000,360,17636,Glioblastoma
7370,10000,617967,20255,Hydrocephalus
7370,10000,240800,20615,Hypoglycemia
7370,10000,615848,25202,melanoma
7370,10000,618221,25362,Mental Retardation
7370,10000,618346,25958,Microcephaly
7370,10000,126200,26769,Multiple Sclerosis
7370,10000,617080,36572,Seizures
7370,10000,3451,37769,West Syndrome
7370,10000,618286,221355,Macrocephaly
7370,10000,616531,266464,Polymicrogyria
7370,10000,187350,423113,Telecanthus
7370,10000,3080,3714756,Intellectual Disability
26645,100008586,615848,25202,melanoma
26647,100008588,148190,22568,Keratitis
26647,100008588,673,24530,Malaria
26647,100008588,654,27708,Nephroblastoma
26648,100008589,543,6413,Burkitt Lymphoma
26648,100008589,29073,26764,Multiple Myeloma
26648,100008589,215600,1623038,Cirrhosis
7372,10002,1549,10418,Cryptosporidiosis
7372,10002,137760,17601,Glaucoma
7372,10002,307500,20619,Hypogonadism
7372,10002,618221,25362,Mental Retardation
7372,10002,617024,28077,Night Blindness
7372,10002,310800,28738,Nystagmus
7372,10002,613886,28754,Obesity
7372,10002,618155,29089,Ophthalmoplegia
7372,10002,165199,29124,Optic Atrophy
7372,10002,312550,35313,Retinal Dysplasia
7372,10002,791,35334,Retinitis Pigmentosa
7372,10002,611597,86543,Cataract
7372,10002,70567,206698,Cholangiocarcinoma
7372,10002,193230,344290,Vitreoretinal degeneration
7372,10002,268100,1849394,Enhanced S-Cone Syndrome
7372,10002,3080,3714756,Intellectual Disability
26678,100033413,739,32897,Prader-Willi Syndrome
26744,100033819,790,35335,Retinoblastoma
26744,100033819,1114,282160,Aplasia Cutis Congenita
26744,100033819,615083,1527249,Colorectal Cancer
26757,100037417,181500,36341,Schizophrenia
26758,100038246,2655,39743,Thanatophoric Dysplasia
26758,100038246,601376,343284,Chondrodysplasia
