#DrugBank-ID,host-protein-ID,NCBI-host-protein-ID,gene
11130,3675,4986,OPRK1
11130,3674,4985,OPRD1
11130,3677,4988,OPRM1
9418,4894,6528,SLC5A5
1620,1323,1659,HRH1
4473,2640,3500,IGHG1
146,5646,7421,VDR
3636,3250,4317,MMP8
2471,4355,5837,PYGM
2471,18840,197021,LCTL
2471,2981,3938,LCT
4720,1163,1457,CSNK2A1
7644,10602,28960,DCPS
3691,6359,8722,CTSF
4194,3075,4069,LYZ
6711,145,150,ADRA2A
6711,142,146,ADRA1A
1032,9197,24145,PANX1
1032,12566,55867,SLC22A11
1032,6845,9376,SLC22A8
1032,6827,9356,SLC22A6
1032,10907,50833,TAS2R16
3703,124,125,ADH1B
8232,1667,2155,F7
8232,1013,1272,F3
8691,973,1195,CLK1
8691,976,1198,CLK3
2016,3053,4047,LSS
13952,932,1137,CHRNA4
13952,6468,8856,NR1I2
13952,6327,8678,BECN1
13952,3318,4508,MT-ATP6
13952,7796,10499,NCOA2
13952,2507,3294,HSD17B2
13952,2140,2852,GPER1
13952,1627,2099,ESR1
13952,1628,2100,ESR2
13952,1631,2104,ESRRG
1852,17371,133688,UGT3A1
4975,5428,7153,TOP2A
6468,4912,6548,SLC9A1
9068,148,153,ADRB1
9068,4898,6532,SLC6A4
9068,2557,3363,HTR7
9068,2553,3359,HTR3A
9068,2545,3350,HTR1A
9068,2546,3351,HTR1B
1349,174,186,AGTR2
1349,173,185,AGTR1
185,926,1131,CHRM3
185,923,1128,CHRM1
7130,4306,5770,PTPN1
1979,3145,4153,MBL2
5319,3078,4072,EPCAM
644,16468,114814,GNRHR2
644,2094,2798,GNRHR
4957,2836,3753,KCNE1
4957,2840,3757,KCNH2
4957,2865,3784,KCNQ1
7821,5911,7941,PLA2G7
7821,874,1066,CES1
7821,3726,5050,PAFAH1B3
7936,834,1017,CDK2
393,179,196,AHR
393,635,779,CACNA1S
393,640,784,CACNB3
393,634,778,CACNA1F
393,638,782,CACNB1
393,631,775,CACNA1C
393,639,783,CACNB2
393,641,785,CACNB4
393,632,776,CACNA1D
2183,2349,3094,HINT1
7659,1661,2147,F2
5459,11331,51561,IL23A
5459,2707,3593,IL12B
11730,836,1019,CDK4
11730,838,1021,CDK6
3144,3576,4843,NOS2
3144,330,383,ARG1
3144,3575,4842,NOS1
3144,3577,4846,NOS3
8388,3255,4322,MMP13
1842,4509,6035,RNASE1
3660,1411,1803,DPP4
920,3865,5226,PGD
920,1323,1659,HRH1
994,696,846,CASR
459,4411,5916,RARG
459,4410,5915,RARB
459,4409,5914,RARA
459,4679,6257,RXRB
459,4420,5926,RBP1
459,4680,6258,RXRG
459,4678,6256,RXRA
1520,2190,2906,GRIN2D
1520,934,1139,CHRNA7
1520,2188,2904,GRIN2B
1520,2189,2905,GRIN2C
1520,16603,116443,GRIN3A
1520,16604,116444,GRIN3B
5518,1708,2203,FBP1
1811,3063,4057,LTF
1631,2640,3500,IGHG1
1631,2978,3934,LCN2
933,1421,1813,DRD2
933,2550,3356,HTR2A
8752,1215,1520,CTSS
3352,3234,4294,MST
11156,923,1128,CHRM1
11156,2146,2859,GPR35
332,926,1131,CHRM3
332,923,1128,CHRM1
332,924,1129,CHRM2
7221,6909,9453,GGPS1
41,2680,3559,IL2RA
41,2681,3560,IL2RB
41,2682,3561,IL2RG
3366,3054,4048,LTA4H
3366,11580,54205,CYCS
3366,184,204,AK2
3366,3576,4843,NOS2
3366,8311,11144,DMC1
3366,7582,10243,GPHN
3366,3919,5292,PIM1
3366,3423,4643,MYO1E
3366,3143,4151,MB
3429,253,291,SLC25A4
3711,22544,392399,LCN9
535,3276,4353,MPO
1820,4306,5770,PTPN1
608,11569,54106,TLR9
608,2218,2939,GSTA2
608,5404,7124,TNF
8329,618,760,CA2
5936,134,136,ADORA2B
14010,2550,3356,HTR2A
14010,2545,3350,HTR1A
645,4741,6336,SCN10A
7431,834,1017,CDK2
7431,6756,9261,MAPKAPK2
8454,12941,57118,CAMK1D
8338,1163,1457,CSNK2A1
2269,4206,5644,PRSS1
9238,3576,4843,NOS2
91,4065,5478,PPIA
91,669,819,CAMLG
91,4113,5535,PPP3R2
91,7460,10105,PPIF
9202,142,146,ADRA1A
9202,143,147,ADRA1B
9202,142,146,ADRA1D
8015,4172,5602,MAPK10
7065,834,1017,CDK2
938,148,153,ADRB1
938,150,155,ADRB3
938,149,154,ADRB2
2047,4287,5742,PTGS1
12332,7402,10039,PARP3
12332,7401,10038,PARP2
12332,138,142,PARP1
2112,4206,5644,PRSS1
3878,40,25,ABL
3878,40,25,ABL1
3499,1141,1431,CS
3499,3175,4200,ME2
8526,1208,1512,CTSH
4459,1338,1675,CFD
9030,1662,2149,F2R
6909,3792,5142,PDE4B
4238,4206,5644,PRSS1
1559,1914,2567,GABRG3
1559,1909,2560,GABRB1
1559,1910,2562,GABRB3
1559,18936,200959,GABRR3
1559,1911,2563,GABRD
1559,1915,2568,GABRP
1559,1912,2564,GABRE
1559,1903,2554,GABRA1
1559,1913,2565,GABRG1
1559,1905,2556,GABRA3
1559,1917,2570,GABRR2
1559,1916,2569,GABRR1
1559,1907,2558,GABRA5
1559,1904,2555,GABRA2
4214,11909,54935,DUSP23
4214,63,52,ACP1
7728,6756,9261,MAPKAPK2
7728,5889,7867,MAPKAPK3
289,4896,6530,SLC6A2
289,4898,6532,SLC6A4
289,4897,6531,SLC6A3
7208,4058,5468,PPARG
7474,2621,3480,IGF1R
1418,13891,79001,VKORC1
190,1310,1644,DDC
7405,3576,4843,NOS2
12610,1598,2053,EPHX2
7791,834,1017,CDK2
2299,2823,3739,KCNA4
7156,2621,3480,IGF1R
1356,2212,2932,GSK3B
1356,2177,2892,GRIA3
1356,2724,3613,IMPA2
1356,2723,3612,IMPA1
9331,778,952,CD38
2622,4306,5770,PTPN1
3516,270,316,AOX1
3516,5702,7498,XDH
3516,1414,1806,DPYD
11075,3078,4072,EPCAM
4660,2058,2760,GM2A
5744,2701,3586,IL10
5744,2689,3569,IL6
5744,1117,1401,CRP
5744,5404,7124,TNF
4998,6192,8517,IKBKG
1289,2847,3764,KCNJ8
7503,3921,5294,PIK3CG
2400,1352,1728,NQO1
7632,618,760,CA2
1233,2553,3359,HTR3A
1233,923,1128,CHRM1
1233,1421,1813,DRD2
1233,2554,3360,HTR4
1233,57,43,ACHE
89,1822,2346,FOLH1
546,18936,200959,GABRR3
546,1907,2558,GABRA5
546,1903,2554,GABRA1
546,1914,2567,GABRG3
546,1905,2556,GABRA3
546,1909,2560,GABRB1
546,1911,2563,GABRD
546,1904,2555,GABRA2
546,1916,2569,GABRR1
546,1910,2562,GABRB3
546,1913,2565,GABRG1
546,1915,2568,GABRP
546,1917,2570,GABRR2
546,1912,2564,GABRE
4931,3148,4157,MC1R
5034,3605,4881,NPR1
