#drugbankID,drugname,virus-ID,virus-name
-1,Sofosbuvir/Velpatasvir,1335626,MERS-CoV
-1,Sofosbuvir/Velpatasvir,2664420,Coronaviruses
-1,nelfinavir,2664420,Coronaviruses
-1,monoclonal antibody,694009,SARS-CoV
-1,SARS-CoV antibody,694009,SARS-CoV
-1,neutralizing antibody m396,694009,SARS-CoV
-1,praziquantel,2697049,SARS-CoV-2
-1,pitavastatin,2697049,SARS-CoV-2
-1,CR3022,2697049,SARS-CoV-2
-1,SARS-CoV antibody,2697049,SARS-CoV-2
-1,perampanel,2697049,SARS-CoV-2
-1,Sofosbuvir/Velpatasvir,2697049,SARS-CoV-2
-1,nelfinavir,2697049,SARS-CoV-2
13288,Tromantadine,10310,Human alphaherpesvirus 2|HSV2|Herpes simplex virus 2|Herpes simplex virus (type 2)|Herpes simplex virus II|Herpes simplex virus type 2|Human herpesvirus 2|herpes simplex virus type 2 HSV-2|Herpes simplex virus type 2 (HSV-2)
6817,Raltegravir|Raltegravir,11676,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
13156,Inosine pranobex|IAD|Inosine acedobene dimepranol|Inosine-2-hydroxypropyldimethylammonium 4-acetamidobenzoate (1:3)|Inosiplex|Isoprinosine|Methisoprinol,11676,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
1319,Fosamprenavir|FOS-APV|Fosamprenavir,11676,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
932,Tipranavir|Tipranavir,11676,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
