#host-protein-ID,NCBI-gene-ID,host-protein
0,23285,KIAA1107|APache
1,100288788,RBMXP5
2,100421109,KPNA4P1
3,100128338,FAM83H-AS1|onco-lncRNA-3
4,653394,PGM5P1
5,100049076,GUSBP17
6,100289004,ACTR3BP7
7,101059905,ELOCP36
8,645388,AP1M2P1
9,653588,SSBL2P
10,100131069,WASHC3P1
11,389465,SSBL5P
12,100129997,SPIN2P1
13,392477,MDH1P1
14,392485,ATXN7L3P1
15,100128171,MTFR1P1
16,100421462,TRAPPC2LP1
17,100533757,SSBL3P
18,441904,SSBL4P
19,644906,MDH1P2
20,650181,PRXL2CP1
21,1,A1BG
22,2,A2M|FWP007|S863-7|CPAMD5
23,3,A2MP1|A2MP
24,9,NAT1|AAC1
25,10,NAT2|AAC2
26,11,NATP|AACP|NATP1
27,12,SERPINA3|AACT|ACT
28,13,AADAC|DAC|CES5A1
29,14,AAMP
30,15,AANAT|SNAT
31,16,AARS1|AARS|CMT2N|AlaRS
32,17,AAVS1|AAV
33,18,ABAT|GABAT|GABA-T
34,19,ABCA1|ABC1|HDLDT1|TGD
35,20,ABCA2|ABC2
36,21,ABCA3|ABC3|ABC-C|EST111653|LBM180
37,22,ABCB7|ABC7|EST140535|Atm1p|ASAT
38,23,ABCF1|ABC50|EST123147
39,24,ABCA4|STGD1|ABCR|RP19|STGD|FFM|ARMD2|CORD3
40,25,ABL1|ABL|JTK7|c-ABL|p150
41,26,AOC1|ABP1|DAO
42,27,ABL2|ABLL|ARG
43,28,ABO|A3GALNT|A3GALT1
44,29,ABR|MDB
45,30,ACAA1
46,31,ACACA|ACAC|ACC|ACC1
47,32,ACACB|HACC275|ACC2|ACCB
48,33,ACADL|LCAD|ACAD4
49,34,ACADM|MCAD|MCADH|ACAD1
50,35,ACADS|SCAD|ACAD3
51,36,ACADSB|SBCAD|ACAD7
52,37,ACADVL|VLCAD|LCACD|ACAD6
53,38,ACAT1|ACAT|THIL
54,39,ACAT2
55,40,ASIC2|ACCN|ACCN1|ASIC2a|BNC1|BNaC1|hBNaC1|MDEG
56,41,ASIC1|ACCN2|BNaC2|hBNaC2
57,43,ACHE|YT
58,47,ACLY|ATPCL|CLATP|ACL
59,48,ACO1|IREB1|IRP1|IREBP
60,49,ACR
61,50,ACO2|ACONM
62,51,ACOX1|PALMCOX
63,52,ACP1|HAAP|LMW-PTP|LMWPTP
64,53,ACP2|LAP
65,54,ACP5|TRAP|HPAP
66,55,ACP3|ACPP|ACP-3|PAP|TM-PAP
67,56,ACRV1|SPACA2|SP-10|D11S4365
68,58,ACTA1|ACTA|NEM3
69,59,ACTA2|ACTSA
70,60,ACTB
71,62,ACTBP2
72,63,ACTBP3
73,64,ACTBP4
74,66,ACTBP6
75,67,ACTBP7
76,68,ACTBP8|ACTBP2
77,69,ACTBP9
78,70,ACTC1|ACTC|CMD1R
79,71,ACTG1|ACTG|DFNA20|DFNA26
80,72,ACTG2|ACTL3|ACTA3|ACTSG
81,73,ACTG1P1|ACTGP1|ACT1GP1
82,74,ACTG1P2|ACTL2|ACTGP2
83,75,ACTG1P3|ACTGP3
84,78,ACTG1P6|ACTGP6
85,79,ACTG1P7|ACTGP7
86,80,ACTG1P8|ACTGP8
87,81,ACTN4|FSGS1
88,82,ACTG1P9|ACTGP9
89,83,ACTG1P10|ACTL1|ACTGP10
90,86,ACTL6A|Actl6|BAF53A|Arp4|Baf53a|INO80K
91,87,ACTN1
92,88,ACTN2
93,89,ACTN3
94,90,ACVR1|ACVRLK2|SKR1|ALK2|ACVR1A
95,91,ACVR1B|ACVRLK4|ALK4|SKR2|ActRIB
96,92,ACVR2A|ACVR2|ACTRII
97,93,ACVR2B|ActR-IIB
98,94,ACVRL1|ACVRLK1|ORW2|HHT2|ALK1|HHT
99,95,ACY1
100,97,ACYP1
101,98,ACYP2
102,100,ADA
103,101,ADAM8|CD156|MS2|CD156A
104,102,ADAM10|kuz|MADM|HsT18717|CD156C
105,103,ADAR|IFI4|G1P1|ADAR1
106,104,ADARB1|ADAR2|DRADA2|ADAR2g|DRABA2|RED1|hRED1|ADAR2a-L1|ADAR2a-L2|ADAR2a-L3|ADAR2a|ADAR2b|ADAR2c|ADAR2d
107,105,ADARB2|RED2|hRED2|ADAR3
108,106,ADCP1
109,107,ADCY1|DFNB44|AC1
110,108,ADCY2|HBAC2|KIAA1060|AC2
111,109,ADCY3|AC3
112,111,ADCY5|AC5
113,112,ADCY6|AC6
114,113,ADCY7|KIAA0037|AC7
115,114,ADCY8|ADCY3|HBAC1|AC8
116,115,ADCY9|AC9
117,116,ADCYAP1|PACAP
118,117,ADCYAP1R1|PAC1|PACAPR|PAC1R
119,118,ADD1
120,119,ADD2|ADDB
121,120,ADD3|ADDL
122,123,PLIN2|ADFP|ADRP
123,124,ADH1A|ADH1
124,125,ADH1B|ADH2
125,126,ADH1C|ADH3
126,127,ADH4|ADH-2
127,128,ADH5|FDH|ADH-3|ADHX|GSNOR
128,130,ADH6|ADH-5
129,131,ADH7|ADH-4
130,132,ADK|AK
131,133,ADM|AM
132,134,ADORA1|RDC7
133,135,ADORA2A|ADORA2|RDC8
134,136,ADORA2B
135,137,ADORA2BP1|ADORA2BP
136,140,ADORA3|AD026
137,141,ADPRH|ARH1
138,142,PARP1|PPOL|ADPRT|PARP|ARTD1
139,143,PARP4|ADPRTL1|VAULT3|p193|VPARP|VWA5C|ARTD4
140,144,PARP1P1|PPOLP1|ADPRTP1
141,145,PARP1P2|PPOLP2|ADPRTP2
142,146,ADRA1D|ADRA1R|ADRA1A|ADRA1
143,147,ADRA1B
144,148,ADRA1A|ADRA1C|ADRA1L1
145,150,ADRA2A|ADRA2|ADRA2R|ADRAR
146,151,ADRA2B|ADRA2L1|ADRA2RL1|ADRARL1
147,152,ADRA2C|ADRA2L2|ADRA2RL2|ADRARL2
148,153,ADRB1|ADRB1R
149,154,ADRB2|ADRB2R|ADRBR|BAR|B2AR
150,155,ADRB3
151,156,GRK2|ADRBK1|BARK1
152,157,GRK3|ADRBK2|BARK2
153,158,ADSL
154,159,ADSS2|ADSS
155,160,AP2A1|CLAPA1|ADTAA
156,161,AP2A2|CLAPA2|ADTAB|DKFZP564D1864|HYPJ|KIAA0899|HIP9
157,162,AP1B1|ADTB1|CLAPB2|BAM22|AP105A
158,163,AP2B1|ADTB2|CLAPB1
159,164,AP1G1|CLAPG1|ADTG
160,165,AEBP1|ACLP
161,166,TLE5|AES|GRG5
162,167,CRISP1|AEGL1|CRISP-1|ARP|HUMARP|HSCRISP1D|HSCRISP1G
163,172,AFG3L1P|AFG3|AFG3L1
164,173,AFM|ALB2|ALBA
165,174,AFP|HPAFP|FETA
166,175,AGA|ASRG
167,176,ACAN|MSK16|CSPG1|AGC1|CSPGCP
168,177,AGER|RAGE|SCARJ1
169,178,AGL
170,181,AGRP|Agrt|ART|ASIP2
171,182,JAG1|AGS|JAGL1|AHD|AWS|HJ1|CD339
172,183,AGT|SERPINA8
173,185,AGTR1|AGTR1B|AT1|AT2R1|AGTR1A|AT2R1A|HAT1R|AG2S|AT2R1B|AT1B
174,186,AGTR2|AT2|MRX88
175,187,APLNR|AGTRL1|FLJ90771|APJ|APJR
176,189,AGXT|SPAT|AGXT1|PH1|AGT|SPT|AGT1
177,190,NR0B1|AHC|DSS|DAX1|AHCH
178,191,AHCY|SAHH
179,196,AHR|bHLHe76
180,197,AHSG|FETUA|A2HS|HSGA
181,199,AIF1|IRT-1|AIF-1|Em:AF129756.17|IBA1
182,202,CRYBG1|ST4|AIM1
183,203,AK1
184,204,AK2
185,205,AK4|AK3|AK3L1
186,206,AK4P1|AK3P1
187,207,AKT1|RAC|PKB|PRKBA|AKT|RAC-alpha
188,208,AKT2|PKBβ
189,210,ALAD|ALADH|PBGS
190,211,ALAS1|ALAS3|ALAS
191,212,ALAS2|ASB
192,213,ALB
193,214,ALCAM|CD166|MEMD
194,215,ABCD1|ALD|AMN|ALDP|adrenoleukodystrophy
195,216,ALDH1A1|PUMB1|ALDH1|RALDH1
196,217,ALDH2
197,218,ALDH3A1|ALDH3
198,219,ALDH1B1|ALDH5|ALDHX
199,220,ALDH1A3|ALDH6|RALDH3
200,221,ALDH3B1|ALDH7
201,222,ALDH3B2|ALDH8
202,223,ALDH9A1|ALDH7|ALDH4|ALDH9|E3
203,224,ALDH3A2|SLS|ALDH10|FALDH
204,225,ABCD2|ALDL1|ALDR|ALDRP
205,226,ALDOA
206,228,ALDOAP2
207,229,ALDOB
208,230,ALDOC
209,231,AKR1B1|ALDR1|AR
210,236,AKR1B1P2|ALDRP
211,238,ALK|CD246
212,239,ALOX12|12S-LOX
213,240,ALOX5|5-LOX
214,241,ALOX5AP|FLAP
215,242,ALOX12B|12R-LOX
216,243,ALOX12P1|ALOX12P
217,245,ALOX12P2
218,246,ALOX15|15-LOX-1
219,247,ALOX15B|15-LOX-2
220,248,ALPI|IAP
221,249,ALPL|HOPS|TNSALP|TNALP|TNAP
222,250,ALPP|PALP|PLAP
223,251,ALPG|ALPPL2|GCAP
224,257,ALX3|FND
225,258,AMBN
226,259,AMBP|ITI|ITIL|UTI|HCP|EDC1|HI30|IATIL|ITILC
227,262,AMD1|SAMDC
228,263,AMD1P2|AMD2|AMD|AMDP1|AMDPX|AMDPY
229,265,AMELX|AMG|AIH1
230,266,AMELY|AMGL
231,267,AMFR|RNF45|gp78
232,268,AMH|MIS
233,269,AMHR2|MISR2|MISRII
234,270,AMPD1|MAD|MADA
235,271,AMPD2|SPG63
236,272,AMPD3
237,273,AMPH
238,274,BIN1|AMPHL|SH3P9|AMPH2
239,275,AMT|GCST|NKH
240,276,AMY1A|AMY1
241,277,AMY1B|AMY1
242,278,AMY1C|AMY1
243,279,AMY2A|AMY2
244,280,AMY2B|AMY2
245,281,AMYP1|AMY2P
246,283,ANG|RNASE5|RAA1
247,284,ANGPT1|KIAA0003|Ang1
248,285,ANGPT2|Ang2
249,286,ANK1|ANK|SPH1
250,287,ANK2|LQT4|FAP87|CFAP87
251,288,ANK3
252,290,ANPEP|CD13|PEPN|LAP1|gp150|p150
253,291,SLC25A4|PEO3|PEO2|ANT1|T1
254,292,SLC25A5|ANT2|T2|2F1|T3
255,293,SLC25A6|ANT3|ANT3Y|MGC17525
256,301,ANXA1|ANX1|LPC1
257,302,ANXA2|ANX2|ANX2L4|CAL1H|LPC2D|LIP2
258,303,ANXA2P1|LPC2A|ANX2P1|ANX2L1
259,304,ANXA2P2|ANX2P2|ANX2L2|LPC2B
260,305,ANXA2P3|ANX2P3|ANX2L3|LPC2C|LIP2
261,306,ANXA3|ANX3
262,307,ANXA4|ANX4
263,308,ANXA5|ENX2|ANX5
264,309,ANXA6|ANX6
265,310,ANXA7|ANX7
266,311,ANXA11|ANX11
267,312,ANXA13|ANX13
268,313,AOAH
269,314,AOC2|RAO|DAO2
270,316,AOX1|AO|AOH1
271,317,APAF1|CED4|APAF-1
272,318,NUDT2|APAH1
273,319,APOF
274,320,APBA1|MINT1|D9S411E|X11
275,321,APBA2|X11L|MINT2|D15S1518E|LIN-10|MGC:14091|HsT16821
276,322,APBB1|RIR|Fe65
277,323,APBB2|FE65L|FE65L1|MGC35575
278,324,APC|DP2|DP3|DP2.5|PPP1R46
279,325,APCS|SAP|PTX2|MGC88159
280,326,AIRE|APECED|PGA1|APS1
281,327,APEH|D3F15S2|DNF15S2|D3S48E
282,328,APEX1|APEX|APE|REF1|HAP1|APX|APEN|REF-1|APE-1
283,329,BIRC2|API1|cIAP1|hiap-2|MIHB|RNF48|c-IAP1
284,330,BIRC3|API2|cIAP2|hiap-1|MIHC|RNF49|MALT2|c-IAP2
285,331,XIAP|API3|BIRC4|hILP|ILP-1
286,332,BIRC5|API4|EPR-1|survivin
287,333,APLP1|APLP
288,334,APLP2|APPL2|APPH
289,335,APOA1
290,336,APOA2
291,337,APOA4
292,338,APOB
293,339,APOBEC1|BEDP|CDAR1|APOBEC-1|HEPR
294,341,APOC1
295,342,APOC1P1|lincRNA-APOC1P1-3
296,343,AQP8
297,344,APOC2
298,345,APOC3
299,346,APOC4
300,347,APOD
301,348,APOE|AD2
302,350,APOH|B2G1|BG
303,351,APP|AD1
304,353,APRT
305,354,KLK3|APS|PSA
306,355,FAS|FAS1|APT1|TNFRSF6|CD95|APO-1
