#hpo-id,virus-id,virus-name
2090,2697049,﻿SARS-CoV-2
2086,694009,SARS-CoV
2086,2664420,Coronaviruses
11947,1335626,MERS-CoV
11947,2664420,Coronaviruses
11947,2697049,SARS-CoV-2
2086,2697049,SARS-CoV-2
11024,2664420,Coronaviruses
11947,694009,SARS-CoV
12735,2697049,SARS-CoV-2
2090,2664420,Coronaviruses
2427,2697049,covid19
2371,2697049,covid19
2425,2697049,covid19
2374,2697049,covid19
100749,2697049,covid19
2094,2697049,covid19
1945,2697049,covid19
12735,2697049,covid19
12378,2697049,covid19
25439,2697049,covid19
3326,2697049,covid19
2014,2697049,covid19
2315,2697049,covid19
0458,2697049,covid19
0223,2697049,covid19
0988,2697049,covid19
2304,2697049,covid19
2375,2697049,covid19
32141,2697049,covid19
2098,2697049,covid19
2875,2697049,covid19
12763,2697049,covid19
12764,2697049,covid19
1954,2697049,covid19
1955,2697049,covid19
11134,2697049,covid19
30244,2697049,covid19
31245,2697049,covid19
31246,2697049,covid19
31247,2697049,covid19
12431,2697049,covid19
12432,2697049,covid19
30973,2697049,covid19
100776,2697049,covid19
3738,2697049,covid19
31921,2697049,covid19
2028,2697049,covid19
2041,2697049,covid19
2254,2697049,covid19
4385,2697049,covid19
5208,2697049,covid19
25085,2697049,covid19
2076,2697049,covid19
2331,2697049,covid19
12199,2697049,covid19
12228,2697049,covid19
12318,2697049,covid19
12459,2697049,covid19
30907,2697049,covid19
10632,2697049,covid19
10633,2697049,covid19
12247,2697049,covid19
0224,2697049,covid19
31249,2697049,covid19
7417,2697049,covid19
12282,2697049,covid19
25300,2697049,covid19
40186,2697049,covid19
40324,2697049,covid19
40325,2697049,covid19
