#locationID,locationID
2968,45
343,211
2253,421
2826,405
557,49
557,442
71,137
71,137
255,11
2940,421
2940,420
3190,37
2790,442
2790,49
2448,36
3043,405
787,512
1308,17
24,17
1312,356
2522,45
2013,36
2350,407
2350,39
2750,405
1308,240
1733,514
1183,140
2660,46
1819,45
1183,140
3062,437
1183,4
3062,47
2013,436
1910,46
1255,49
1158,352
1417,356
3522,36
1257,233
2465,421
2039,421
2860,243
1802,361
1645,356
2766,405
2505,36
701,16
1987,421
2861,17
3236,356
161,54
3476,45
1115,214
1115,14
3479,244
3479,17
1500,36
2061,47
3439,514
355,405
3108,36
2061,437
1979,421
2077,437
2077,47
1378,49
609,147
609,6
609,148
3350,36
3274,514
2904,386
1500,436
1409,45
1932,436
2731,437
2731,47
2992,338
674,17
1020,403
3178,442
3178,49
165,358
2305,46
1698,476
165,359
257,386
2189,421
3616,244
3616,17
2214,477
1539,421
2214,478
2545,437
3549,421
2545,47
23,367
87,21
808,289
1156,223
1932,36
191,47
2300,342
1616,45
2602,49
191,437
56,66
273,49
273,442
24,239
2496,39
2496,407
627,46
1861,49
1459,48
1459,441
1459,441
1751,49
581,46
713,36
713,391
1562,39
3010,338
2485,46
1388,436
908,405
137,374
1997,47
1997,437
2176,36
835,343
539,49
1490,19
999,159
1575,405
2373,47
2373,437
2863,48
2863,441
2863,441
2865,399
822,405
1345,49
3118,421
2578,46
1992,314
1418,39
1691,330
2216,421
1018,405
873,289
1184,227
1184,229
1679,338
1697,49
998,21
459,46
586,138
808,292
1426,437
1881,339
586,3
2707,47
1426,47
2707,437
28,59
3626,521
2756,355
2886,386
2193,49
586,144
1279,21
1440,39
2931,314
2991,49
3399,437
3399,47
506,356
1889,36
3341,475
3341,51
3306,21
3434,21
2412,442
2412,49
1563,426
330,36
1563,44
1563,424
1302,17
164,391
164,36
8,57
2465,36
3218,114
1302,244
2039,36
79,19
1042,49
2924,421
2221,332
2221,331
2924,420
2813,403
1059,415
1553,421
873,292
327,421
60,405
2269,28
911,46
2269,335
1023,21
2060,318
2199,21
2705,405
699,405
1217,378
3119,46
2498,36
1536,36
1891,421
1714,378
2697,49
552,423
2279,47
2279,437
3312,21
788,482
3598,47
3598,437
1640,289
9,442
1860,302
9,49
1178,405
904,25
1050,405
945,405
1661,36
1761,21
788,488
3542,36
1717,10
1717,183
2746,405
50,17
1098,405
2583,442
620,407
620,39
588,143
1506,421
1087,39
2369,345
1087,407
2766,46
2583,49
1360,441
585,21
1360,48
1360,441
1294,49
3601,45
2750,46
739,46
2505,355
2093,159
3603,523
2963,214
2963,14
2021,32
2406,47
3394,47
2406,437
3394,437
1158,36
1255,356
3585,159
947,21
1714,44
3485,505
3177,36
2021,363
363,21
136,49
1645,49
3565,21
2263,36
3292,51
681,22
3237,183
3237,10
3433,441
3433,441
3326,21
3433,48
1463,336
232,122
1463,29
955,155
955,156
410,115
1417,338
1158,443
874,45
1468,37
1640,292
2464,421
2977,32
810,37
3582,21
1378,356
2745,46
2431,442
2431,49
3277,156
3277,155
3538,421
1216,301
1900,339
1216,35
1249,140
1249,4
1249,140
135,43
2354,47
2354,437
2152,420
2152,421
1661,443
908,46
3117,36
1051,46
2602,356
2253,36
1003,426
3043,46
1003,44
1003,424
2826,46
3508,32
1773,426
355,46
1773,44
2463,36
1773,424
1739,518
1979,36
2569,37
227,92
1312,338
3508,368
3117,439
1861,356
3252,386
1751,356
2188,159
1539,36
1929,0
3216,451
60,46
2661,32
2661,368
539,356
733,405
796,140
796,140
796,4
2395,17
2229,421
1345,356
1255,338
2579,29
1787,391
1787,36
3176,47
3176,437
1420,46
1049,159
603,21
277,358
2647,405
477,39
160,45
556,216
235,168
556,215
979,44
101,22
1697,356
2724,339
3566,21
3322,205
551,38
3030,354
551,136
3030,353
502,155
57,405
502,156
2307,405
313,442
3332,339
2789,47
635,216
2763,388
635,215
313,49
2789,437
1155,17
2745,405
1168,386
2193,356
822,46
1712,424
2578,405
1712,44
1099,49
1712,426
2216,36
2904,45
639,405
2433,421
1503,36
2433,420
3138,36
1860,32
3323,21
1032,183
1032,10
3254,32
721,42
3254,368
1553,36
2602,338
2991,356
924,53
1143,54
506,49
47,442
2635,514
47,49
327,36
1905,403
2939,36
911,405
2227,36
1912,17
3012,49
1289,436
3012,442
346,49
767,288
346,442
1509,36
699,46
2227,433
2227,434
293,442
293,49
1398,385
3522,421
1334,437
3088,44
3088,424
1334,47
3088,426
153,514
2512,359
2512,358
1891,36
2404,346
3041,17
3251,339
73,17
2313,47
2984,49
2313,437
277,370
1837,32
3029,45
3029,430
3464,243
2667,407
654,21
2667,39
1060,375
3010,356
500,21
1410,32
1575,46
2776,17
2998,49
1509,443
3209,452
88,157
2996,442
2996,49
519,49
1289,36
2646,46
285,356
2697,356
1325,16
1325,242
2522,387
2522,386
1484,36
3635,244
642,46
3635,17
2557,366
1154,405
1410,363
1763,79
1763,493
739,405
1786,36
1786,391
1902,32
2904,291
1468,374
1386,356
3499,404
2263,354
647,514
3291,159
2263,353
2178,36
1118,36
3337,473
552,54
354,46
630,358
707,514
630,359
1576,405
2837,386
3063,405
3212,126
2477,442
3426,49
2175,51
1882,269
2477,49
1934,439
945,46
3472,17
2018,386
3504,421
119,43
3299,139
1815,403
2538,48
1066,137
2538,441
2538,441
1066,137
3476,386
169,49
1615,67
484,36
89,21
1159,45
871,352
2300,49
2927,36
2998,338
481,405
136,356
1506,36
1416,437
1416,47
325,49
325,442
2582,49
665,29
3275,514
2967,402
1045,21
745,431
3233,122
538,237
625,46
2215,436
2215,36
525,159
3040,356
2463,421
3109,36
2608,42
2443,237
2504,355
1995,36
682,288
3537,37
2991,338
74,85
2906,386
3615,244
1632,405
3465,291
1250,140
1250,140
1250,4
2433,36
1871,32
1790,437
1790,47
232,94
3615,17
2074,441
2074,441
2074,48
1911,403
2732,35
1005,44
1005,424
1005,426
1201,437
1716,514
