#strainID,locationID
519,17
321,26
381,8
330,7
459,17
402,45
306,32
455,126
497,45
255,374
260,259
300,35
106,41
244,17
420,421
275,41
324,27
393,17
137,19
120,17
281,18
266,20
344,30
498,497
458,122
306,339
320,17
423,54
494,17
224,17
176,35
453,17
453,244
389,17
373,32
137,19
298,375
64,17
180,36
371,49
101,102
420,36
205,51
468,468
331,36
127,126
301,35
221,54
56,17
364,339
380,8
347,17
345,10
281,18
329,207
470,51
80,54
218,17
124,45
388,17
318,17
176,512
111,35
257,36
402,375
465,155
100,0
511,45
397,45
348,17
144,138
144,3
219,17
305,403
173,173
173,25
55,17
332,36
486,482
364,32
156,21
349,42
342,356
502,17
358,46
335,28
267,20
98,32
65,17
165,29
228,17
473,386
117,116
286,21
169,9
517,36
383,384
452,17
201,159
451,17
279,44
466,467
285,21
435,46
170,17
511,375
411,17
142,17
125,17
178,12
90,17
138,3
98,339
262,36
179,36
132,159
254,45
366,36
504,17
399,17
391,36
199,25
366,443
256,18
256,256
85,159
190,36
262,421
137,137
115,17
337,32
481,17
193,9
430,45
227,229
67,17
437,47
150,403
281,281
94,122
392,17
154,54
240,17
305,32
192,21
80,154
139,18
207,21
195,44
57,0
130,17
280,17
406,49
406,442
183,10
378,44
223,122
298,45
360,36
311,0
333,30
360,433
517,421
97,269
148,6
148,147
261,17
134,135
134,2
473,45
379,44
70,36
377,377
478,22
76,75
91,17
283,21
108,21
121,17
303,17
469,21
370,358
214,14
323,21
444,17
248,403
101,17
94,17
268,375
409,39
251,17
149,32
202,17
126,17
288,22
455,17
226,38
394,395
143,17
394,45
221,220
69,36
206,433
206,36
119,17
319,17
91,126
427,433
81,386
427,36
520,433
365,365
171,29
351,45
520,36
235,21
383,17
386,45
103,29
132,21
466,36
155,21
150,32
432,435
432,46
284,21
233,25
385,37
468,18
426,424
426,44
196,198
230,17
89,17
491,164
282,283
86,51
140,140
140,4
404,17
326,36
464,43
522,45
522,430
184,292
370,46
63,17
322,21
515,513
527,482
79,21
441,48
441,441
440,17
479,17
128,17
99,17
268,45
141,477
326,433
514,21
104,17
127,17
220,54
215,46
158,21
400,17
458,17
297,353
81,45
289,292
441,48
307,403
159,21
499,17
248,32
457,17
76,25
328,51
198,25
161,17
359,46
219,218
188,375
271,292
297,36
177,17
58,17
87,126
107,41
460,17
352,443
112,32
346,300
478,477
272,21
179,180
164,17
60,17
395,45
113,29
352,36
448,17
168,29
184,45
477,22
334,17
108,109
189,16
188,45
310,32
136,38
136,136
501,17
501,244
135,2
513,17
480,29
294,17
263,421
346,35
147,6
72,67
434,36
301,300
434,433
257,332
269,32
149,425
527,45
476,25
405,46
255,37
163,8
365,25
490,29
68,17
486,45
438,17
359,358
225,17
325,324
325,27
93,17
72,17
221,54
461,17
187,17
260,25
445,17
211,405
485,53
278,30
489,36
254,253
271,45
439,36
367,17
153,50
204,46
232,17
507,17
312,403
162,17
201,21
213,45
336,29
211,46
368,32
390,17
167,29
263,36
66,38
136,38
217,45
238,17
524,482
356,49
112,403
182,45
73,17
78,25
515,17
407,39
372,33
216,215
376,375
505,17
234,46
308,32
270,269
339,32
265,44
340,339
178,12
178,178
472,39
447,17
429,421
377,49
315,36
242,16
428,421
516,17
354,36
117,17
429,36
234,358
141,22
213,386
110,36
110,433
288,477
362,46
88,17
293,292
288,22
376,45
82,36
315,421
428,36
350,31
401,51
181,45
418,41
258,36
131,29
354,353
194,13
258,433
133,1
208,51
129,363
129,32
74,17
463,45
285,284
79,21
387,45
217,375
361,36
173,25
361,433
414,41
83,405
419,17
77,54
299,24
313,30
308,403
341,403
433,36
506,17
122,17
79,493
474,36
259,25
474,443
185,17
276,51
398,45
446,17
270,32
398,395
525,17
243,386
413,17
210,45
387,386
327,36
331,332
327,433
512,35
96,17
277,44
75,25
286,323
518,44
365,25
463,375
482,45
341,32
343,443
363,32
415,430
415,45
340,32
343,36
363,363
431,36
199,200
487,17
492,17
491,17
351,375
197,272
197,21
465,21
83,46
425,32
289,45
145,17
87,17
186,17
237,39
307,32
293,45
205,51
243,45
156,155
412,17
411,410
357,32
200,25
151,17
212,375
59,17
140,4
314,36
253,45
85,21
166,16
488,482
86,51
210,375
236,36
503,17
510,35
157,21
239,17
495,39
302,32
118,17
105,16
196,25
216,46
309,32
229,17
296,23
316,17
422,49
250,29
483,0
71,17
95,17
417,17
338,356
421,36
114,17
95,240
436,36
443,36
252,6
86,86
212,45
508,240
450,17
182,181
508,17
338,49
241,375
382,34
116,17
64,65
97,32
468,18
235,207
245,11
521,386
384,17
274,17
507,506
447,96
227,17
304,269
70,69
445,122
500,17
408,40
222,15
175,17
247,17
381,380
493,21
264,44
282,21
123,45
295,39
416,41
287,51
416,418
523,17
397,375
403,32
424,44
249,17
362,358
290,36
467,36
363,32
231,17
396,386
377,49
209,17
342,49
312,32
509,17
67,68
484,52
290,443
471,30
172,135
172,2
410,17
442,49
152,7
128,120
241,45
375,45
92,17
92,244
488,45
521,45
524,45
291,45
223,17
146,30
357,403
492,513
160,16
462,17
498,45
205,205
158,157
102,17
369,44
61,17
317,17
446,450
396,45
84,44
174,17
374,37
322,159
526,51
62,17
449,17
67,17
256,18
246,44
314,421
355,36
292,45
329,21
462,67
475,51
417,419
203,36
456,17
353,36
273,443
454,17
304,32
273,36
510,512
109,21
496,54
301,35
291,386
191,53
123,124
310,309
