#strainID,strainID
5248,5252
1308,4805
2154,5429
383,3994
2603,5846
6176,4101
887,5653
5750,5748
742,4326
168,3836
5390,5439
1878,5256
5844,5845
3791,3788
4109,4108
2006,5300
4519,5027
5490,5481
4239,6612
5666,5664
553,4154
81,3745
1854,5196
6539,6535
1816,5148
6552,6645
5020,5015
4542,4539
1566,4941
918,4462
1619,4991
711,4293
4922,4098
1741,5075
4605,4601
4951,5017
3114,6332
2790,6033
4000,6645
4341,4782
1257,4739
4693,4679
3401,6556
3903,3902
5318,5525
3511,6662
4496,4499
3043,6262
5973,5972
5724,5722
3269,6487
2436,5687
6538,6572
3999,4000
4908,4913
2701,5931
1115,4620
4363,4346
6032,6030
2496,5732
3366,3905
741,4312
48,3779
1481,4887
2422,5676
4119,4114
4359,4151
2863,6081
371,3761
6665,6666
5102,5103
3178,6399
5504,5593
914,4454
951,4557
4960,4959
3430,6589
5447,5432
6415,6414
609,4242
2097,5383
3704,3703
1156,4655
2813,6051
6126,6127
1570,4944
5868,5580
2300,5558
56,3691
3630,6756
1533,4912
6242,6239
5148,5150
743,4330
930,4478
3439,6590
1531,4916
4938,3700
2575,5821
3977,3978
2608,5845
5104,5108
2670,5699
5505,5591
5559,5557
3728,3815
2844,6079
1184,4681
6162,6163
3432,6588
796,4387
6007,6004
6455,6451
3387,4611
6615,5986
958,4477
6712,6713
5718,6333
2865,6086
6647,6644
6501,6498
1581,5094
1410,5525
6450,6525
6368,6397
4309,4148
2682,5912
3402,6645
1490,4895
1718,5046
467,4064
3042,6258
6669,6667
2019,5314
5962,5958
5258,5253
187,3857
1708,4834
376,3988
6414,5997
5031,5118
28,3672
207,3871
5276,5273
1992,5345
2623,5862
4215,4189
5206,5753
5753,5749
5788,5789
1161,4657
27,3675
5901,5899
10,3736
5585,5578
3205,6416
2307,5562
5607,5608
1252,4740
4850,4849
1830,5172
2018,5309
1340,5324
84,3754
372,3761
830,4398
3856,3851
979,5653
3808,3810
820,4393
