#Virus-ID,Virus-name,hostprotein-ID,NCBI-hhostprotein-ID,hostprotein
11120,IBV,4841,3574,NONO
11120,IBV,2931,2211,GSK3A
11120,IBV,2932,2212,GSK3B
11120,IBV,26986,9793,PABPC1
11120,IBV,8761,6389,PABPC4
11120,IBV,3178,2420,HNRNPA1
11120,IBV,3181,2421,HNRNPA2B1
11120,IBV,4869,3596,NPM1
11120,IBV,10146,7495,G3BP1
11120,IBV,9908,7293,G3BP2
11120,IBV,6143,4589,RPL19
11120,IBV,142,138,PARP1
11120,IBV,4691,3461,NCL
11120,IBV,1653,1318,DDX1
694009,SARS,23429,8957,RYBP
694009,SARS,5478,4065,PPIA
694009,SARS,408050,23310,NOMO3
694009,SARS,2280,1770,FKBP1A
694009,SARS,9360,6829,PPIG
694009,SARS,4140,3132,MARK3
694009,SARS,10465,7764,PPIH
694009,SARS,11123,8294,RCAN3
694009,SARS,9146,6674,HGS
694009,SARS,7917,5902,BAG6
694009,SARS,23564,9060,DDAH2
694009,SARS,819,669,CAMLG
694009,SARS,25978,9360,CHMP2B
694009,SARS,116841,16624,SNAP47
694009,SARS,23609,9093,MKRN2
694009,SARS,7177,5449,TPSAB1
694009,SARS,710,578,SERPING1
694009,SARS,7681,5794,MKRN3
694009,SARS,5683,4232,PSMA2
694009,SARS,81926,14969,ABHD17A
694009,SARS,5204,3848,PFDN5
694009,SARS,57409,13049,MIF4GD
694009,SARS,4705,3475,NDUFA10
694009,SARS,79001,13891,VKORC1
694009,SARS,81887,14962,LAS1L
694009,SARS,55506,12298,H2AFY2
694009,SARS,6224,4651,RPS20
694009,SARS,11200,8363,CHEK2
694009,SARS,7013,5304,TERF1
694009,SARS,10540,7826,DCTN2
694009,SARS,1655,1320,DDX5
694009,SARS,119710,16728,C11orf74
694009,SARS,8665,6315,EIF3F
694009,SARS,1915,1492,EEF1A1
694009,SARS,857,699,CAV1
694009,SARS,3551,2673,IKBKB
694009,SARS,7329,5576,UBE2I
694009,SARS,6449,4827,SGTA
694009,SARS,9550,6987,ATP6V1G1
694009,SARS,689,567,BTF3
694009,SARS,22809,8471,ATF5
694009,SARS,4539,3338,ND4L
694009,SARS,4513,3322,COX2
694009,SARS,3178,2420,HNRNPA1
694009,SARS,59272,13381,ACE2
694009,SARS,339390,20695,CLEC4G
694009,SARS,30835,10837,CD209
694009,SARS,10332,7657,CLEC4M
694009,SARS,3661,2760,IRF3
694009,SARS,3838,2908,KPNA2
694009,SARS,6441,4819,SFTPD
694009,SARS,5478,4065,PPIA
694009,SARS,598,490,BCL2L1
694009,SARS,599,491,BCL2L2
694009,SARS,4170,3156,MCL1
694009,SARS,597,489,BCL2A1
694009,SARS,596,488,BCL2
1335626,MERS,6502,4869,SKP2
1335626,MERS,3840,2910,KPNA4
1335626,MERS,8575,6246,PRKRA
1335626,MERS,928,755,CD9
1335626,MERS,7113,5393,TMPRSS2
694009,SARS,3551,2673,IKBKB
11137,HCoV-229E,290,252,ANPEP
277944,HCoV-NL63,59272,13381,ACE2
11120,IBV,85437,15770,ZCRB1
1335626,MERS,1803,1411,DPP4
11138,MHV,3178,2420,HNRNPA1
11138,MHV,10492,7790,SYNCRIP
11138,MHV,5725,4272,PTBP1
11138,MHV,634,516,CEACAM1
694009,SARS,85437,15770,ZCRB1
694009,SARS,59272,13381,ACE2
11120,IBV,302,257,ANXA2
11138,MHV,3181,2421,HNRNPA2B1
11138,MHV,220988,19194,HNRNPA3
11138,MHV,50,61,ACO2
11138,MHV,3337,2537,DNAJB1
11138,MHV,3329,2534,HSPD1
11138,MHV,3313,2523,HSPA9
11138,MHV,9276,6766,COPB2
11138,MHV,23521,9021,RPL13A
11138,MHV,3646,2750,EIF3E
11138,MHV,8668,6318,EIF3I
11138,MHV,4836,3570,NMT1
11138,MHV,128866,17193,CHMP4B
11138,MHV,8665,6315,EIF3F
11138,MHV,8729,6366,GBF1
11138,MHV,6241,4668,RRM2
11138,MHV,3832,2903,KIF11
11138,MHV,5707,4256,PSMD1
11138,MHV,6729,5070,SRP54
11138,MHV,84955,15667,NUDCD1
11138,MHV,4666,3440,NACA
11138,MHV,51429,11256,SNX9
11138,MHV,689,567,BTF3
11138,MHV,23256,8823,SCFD1
11138,MHV,5701,4250,PSMC2
11138,MHV,7942,5912,TFEB
11138,MHV,11344,8456,TWF2
11138,MHV,10652,7920,YKT6
11138,MHV,3837,2907,KPNB1
11138,MHV,6811,5130,STX5
11138,MHV,6776,5105,STAT5A
11138,MHV,51187,11088,RSL24D1
11138,MHV,91452,16037,ACBD5
694009,SARS,5245,3878,PHB
694009,SARS,3725,2812,JUN
694009,SARS,6774,5103,STAT3
694009,SARS,5499,4081,PPP1CA
694009,SARS,92521,16146,SPECC1
694009,SARS,10875,8090,FGL2
694009,SARS,7514,5712,XPO1
11137,HCoV-229E,7040,5327,TGFB1
11137,HCoV-229E,10875,8090,FGL2
11138,MHV,4088,3089,SMAD3
