#virus-ID,virus-name,NCBI-virus-protein-ID,virus-protein
2697049,SARS-CoV-2,4893,NS6
2697049,SARS-CoV-2,3974179,ORF6
2697049,SARS-CoV-2,1343053,ORF10
2697049,SARS-CoV-2,3707765,ORF1A
2697049,SARS-CoV-2,107824161,N
2697049,SARS-CoV-2,3974180,ORF7
2697049,SARS-CoV-2,103859424,NS3
2697049,SARS-CoV-2,9714829,ORF7A
2697049,SARS-CoV-2,921688,ORF1AB
2697049,SARS-CoV-2,33654,M
2697049,SARS-CoV-2,26408723,ORF3A
2697049,SARS-CoV-2,6016,NS8
2697049,SARS-CoV-2,37616150,NS7A
2697049,SARS-CoV-2,3974181,ORF8
2697049,SARS-CoV-2,3974168,ORF3
2697049,SARS-CoV-2,103405766,S
2697049,SARS-CoV-2,37616151,NS7B
2697049,SARS-CoV-2,824614,E
2697049,SARS-CoV-2,9714830,ORF7B
11676,﻿HIV,4336986,Spike
12663,feline coronavirus,4336986,Spike
1508220,Bat SARS-CoV,3974181,ORF8
1508220,Bat coronavirus,4336986,Spike
1508220,Bat coronavirus,3974181,ORF8
1335626,MERS-CoV,4336986,Spike
1335626,MERS-CoV,820886,Nsp3
1508220,bat SARS-CoV-like,4336986,Spike
2664420,Coronaviruses,820886,Nsp3
2664420,Coronaviruses,824614,E
2664420,Coronaviruses,3707779,ORF1b
2664420,Coronaviruses,3707765,ORF1a
2664420,Coronaviruses,4336986,Spike
2664420,Coronaviruses,921688,ORF1ab
694005,Murine coronavirus,820886,Nsp3
28295,porcine epidemic diarrhea virus,4336986,Spike
11138,mouse hepatitis virus,820886,Nsp3
694009,SARS-CoV,820887,Nsp1
694009,SARS-CoV,4336986,Spike
694009,SARS-CoV,820886,Nsp3
694009,SARS-CoV,824614,E
694009,SARS-CoV,107824161,N
694009,SARS-CoV,921688,ORF1ab
11138,murine hepatitis virus,820886,Nsp3
2697049,SARS-CoV-2,921688,ORF1ab
2697049,SARS-CoV-2,9714829,ORF7a
2697049,SARS-CoV-2,4336986,Spike
2697049,SARS-CoV-2,820886,Nsp3
2697049,SARS-CoV-2,3707779,ORF1b
2697049,SARS-CoV-2,824614,E
2697049,SARS-CoV-2,3974179,ORF6
2697049,SARS-CoV-2,3974181,ORF8
2697049,SARS-CoV-2,3707765,ORF1a
2697049,SARS-CoV-2,1343053,ORF10
2697049,SARS-CoV-2,26408723,ORF3a
2697049,SARS-CoV-2,820887,Nsp1
2697049,SARS-CoV-2,107824161,N
2697049,SARS-CoV-2,956581,nucleocapsid protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,43740568,spike glycoprotein
2697049,SARS-CoV-2,956581,nucleocapsid protein
2697049,SARS-CoV-2,43740568,spike glycoprotein
2697049,SARS-CoV-2,956581,nucleocapsid protein
2697049,SARS-CoV-2,9714830,ORF7b
2697049,SARS-CoV-2,43740568,spike glycoprotein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,43740568,spike glycoprotein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,9714830,ORF7b
2697049,SARS-CoV-2,956581,nucleocapsid protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,956581,nucleocapsid protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,43740568,spike glycoprotein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,956581,nucleocapsid protein
2697049,SARS-CoV-2,956581,nucleocapsid protein
2697049,SARS-CoV-2,1463366,envelope protein
2697049,SARS-CoV-2,1463366,envelope protein
11041,Rubella virus,35904,NP|NP_740662
385599,Influenza A virus (A/udorn/1972(H3N2))|Influenza A Virus (A/Udorn/72(H3N2)),112280533,M2|M2_I72A8
10632,JC polyomavirus|JCPyV|Human polyomavirus (type JC)|JC polyomavirus JCV|JC virus|Polyomavirus hominis 2|human polyomavirus JCV|polyoma virus JC JCV|polyomavirus JC,3355130,LT|LT_POVJC
10632,JC polyomavirus|JCPyV|Human polyomavirus (type JC)|JC polyomavirus JCV|JC virus|Polyomavirus hominis 2|human polyomavirus JCV|polyoma virus JC JCV|polyomavirus JC,814903,ST|ST_POVJC
10632,JC polyomavirus|JCPyV|Human polyomavirus (type JC)|JC polyomavirus JCV|JC virus|Polyomavirus hominis 2|human polyomavirus JCV|polyoma virus JC JCV|polyomavirus JC,112284684,VP1|VP1_POVJC
11036,Venezuelan equine encephalitis virus|VEEV|VEE|Venezuelan equine encephalitis VEE|Venezuelan equine encephalitis virus VEE|Venezuelan equine encephalomyelitis virus,35904,NP|NP_740697
11034,Sindbis virus,35904,NP|NP_740670
11034,Sindbis virus,35904,NP|NP_740672
11034,Sindbis virus,116957718,POLN|POLN_SINDV
11034,Sindbis virus,35904,NP|NP_740671
381517,Influenza A virus (A/Udorn/307/1972(H3N2))|Influenza A virus (A/Udorn/307/72 (H3N2))|Influenza A virus (A/Udorn/307/72(H3N2))|Influenza A virus (STRAIN A/UDORN/307/72),827443,NS1|NS1_I72A2
41856,Hepatitis C virus genotype 1|Hepatitis C virus 1|Hepatitis C virus type 1|hepatitis C virus 1 HCV 1,35904,NP|NP_803170
41856,Hepatitis C virus genotype 1|Hepatitis C virus 1|Hepatitis C virus type 1|hepatitis C virus 1 HCV 1,35904,NP|NP_751927
41856,Hepatitis C virus genotype 1|Hepatitis C virus 1|Hepatitis C virus type 1|hepatitis C virus 1 HCV 1,35904,NP|NP_751921
41856,Hepatitis C virus genotype 1|Hepatitis C virus 1|Hepatitis C virus type 1|hepatitis C virus 1 HCV 1,35904,NP|NP_803144
41856,Hepatitis C virus genotype 1|Hepatitis C virus 1|Hepatitis C virus type 1|hepatitis C virus 1 HCV 1,35904,NP|NP_751920
41856,Hepatitis C virus genotype 1|Hepatitis C virus 1|Hepatitis C virus type 1|hepatitis C virus 1 HCV 1,35904,NP|NP_751922
41856,Hepatitis C virus genotype 1|Hepatitis C virus 1|Hepatitis C virus type 1|hepatitis C virus 1 HCV 1,35904,NP|NP_751919
41856,Hepatitis C virus genotype 1|Hepatitis C virus 1|Hepatitis C virus type 1|hepatitis C virus 1 HCV 1,35904,NP|NP_751925
41856,Hepatitis C virus genotype 1|Hepatitis C virus 1|Hepatitis C virus type 1|hepatitis C virus 1 HCV 1,35904,NP|NP_751926
41856,Hepatitis C virus genotype 1|Hepatitis C virus 1|Hepatitis C virus type 1|hepatitis C virus 1 HCV 1,35904,NP|NP_751923
41856,Hepatitis C virus genotype 1|Hepatitis C virus 1|Hepatitis C virus type 1|hepatitis C virus 1 HCV 1,35904,NP|NP_751928
11622,Lassa virus Josiah|Lassa virus (strain Josiah)|Lassa virus strain Josiah,31230,Z|Z_LASSJ
82830,Epstein-barr virus strain ag876,305103,GP42|GP42_EBVA8
82830,Epstein-barr virus strain ag876,657659,ITP|ITP_EBVA8
82830,Epstein-barr virus strain ag876,3783714,BLLF2|BLLF2_EBVA8
82830,Epstein-barr virus strain ag876,252544,RTA|RTA_EBVA8
82830,Epstein-barr virus strain ag876,105220972,EBNA4|EBNA4_EBVA8
82830,Epstein-barr virus strain ag876,100216496,GB|GB_EBVA8
82830,Epstein-barr virus strain ag876,3783683,BARF1|BARF1_EBVA8
82830,Epstein-barr virus strain ag876,3783770,BTRF1|BTRF1_EBVA8
82830,Epstein-barr virus strain ag876,5726491,CEP2|CEP2_EBVA8
82830,Epstein-barr virus strain ag876,44451,EAR|EAR_EBVA8
82830,Epstein-barr virus strain ag876,3783748,LF2|LF2_EBVA8
82830,Epstein-barr virus strain ag876,3077564,UL92|UL92_EBVA8
82830,Epstein-barr virus strain ag876,3783693,BDLF2|BDLF2_EBVA8
82830,Epstein-barr virus strain ag876,50245310,DUT|DUT_EBVA8
82830,Epstein-barr virus strain ag876,837958,GN|GN_EBVA8
82830,Epstein-barr virus strain ag876,3783744,BZLF1|BZLF1_EBVA8
82830,Epstein-barr virus strain ag876,110889620,KITH|KITH_EBVA8
82830,Epstein-barr virus strain ag876,105219243,EBNA6|EBNA6_EBVA8
82830,Epstein-barr virus strain ag876,3783717,BLRF2|BLRF2_EBVA8
82830,Epstein-barr virus strain ag876,30665,LMP2|LMP2_EBVA8
82830,Epstein-barr virus strain ag876,380426,LMP1|LMP1_EBVA8
82830,Epstein-barr virus strain ag876,110904092,RIR2|RIR2_EBVA8
82830,Epstein-barr virus strain ag876,112288183,LTP|LTP_EBVA8
82830,Epstein-barr virus strain ag876,5723238,CEP1|CEP1_EBVA8
82830,Epstein-barr virus strain ag876,3783728,BRRF1|BRRF1_EBVA8
82830,Epstein-barr virus strain ag876,101213602,MTP|MTP_EBVA8
82830,Epstein-barr virus strain ag876,107761694,NEC1|NEC1_EBVA8
82830,Epstein-barr virus strain ag876,101221983,GL|GL_EBVA8
82830,Epstein-barr virus strain ag876,41913,GM|GM_EBVA8
82830,Epstein-barr virus strain ag876,5726697,TRM3|TRM3_EBVA8
11714,Human immunodeficiency virus type 2 (ISOLATE BEN),14971912,TAT|TAT_HV2BE
11714,Human immunodeficiency virus type 2 (ISOLATE BEN),100141955,GAG|GAG_HV2BE
11714,Human immunodeficiency virus type 2 (ISOLATE BEN),1490006,VPX|VPX_HV2BE
11714,Human immunodeficiency virus type 2 (ISOLATE BEN),50286,NEF|NEF_HV2BE
382855,Influenza A virus (A/swine/Wisconsin/1/1967(H1N1)),101217987,M1|M1_I67A2
31530,Myxoma virus (strain Lausanne),69814,MT5|MT5_MYXVL
11676,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus,35904,NP|NP_789739
11676,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus,35904,NP|NP_705926
11676,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus,35904,NP|NP_789740
11676,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus,35904,NP|NP_705927
11676,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus,35904,NP|NP_705928
11676,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus,35904,NP|NP_579876
11676,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus,35904,NP|NP_579894
