#NCBI-virus-protein-ID,virus-gene,virus-protein,virus-protein-identifier,virus-protein-link
3974181,ORF8,ORF8 protein,QHU36830.1,https://www.ncbi.nlm.nih.gov/protein/1805293619
3974181,ORF8,ORF8 protein,QHU36860.1,https://www.ncbi.nlm.nih.gov/protein/1805293652
3974181,ORF8,ORF8 protein,QIA98601.1,https://www.ncbi.nlm.nih.gov/protein/1809484500
3974181,ORF8,ORF8 protein,QHN73816.1,https://www.ncbi.nlm.nih.gov/protein/1800242669
3974181,ORF8,ORF8 protein,YP_009724396.1,https://www.ncbi.nlm.nih.gov/protein/1796318604
3974181,ORF8,ORF8 protein,QHU79180.1,https://www.ncbi.nlm.nih.gov/protein/1805599851
3974181,ORF8,ORF8 protein,QHD43422.1,https://www.ncbi.nlm.nih.gov/protein/1791269096
3974181,ORF8,ORF8 protein,QHU36840.1,https://www.ncbi.nlm.nih.gov/protein/1805293630
3974181,ORF8,ORF8 protein,QHR84455.1,https://www.ncbi.nlm.nih.gov/protein/1803016612
3974181,ORF8,ORF8 protein,BCA25650.1,https://www.ncbi.nlm.nih.gov/protein/1807816323
3974181,ORF8,ORF8 protein,QHZ00364.1,https://www.ncbi.nlm.nih.gov/protein/1807860418
3974181,ORF8,ORF8 protein,QHU36850.1,https://www.ncbi.nlm.nih.gov/protein/1805293641
3974181,ORF8,ORF8 protein,QIA20051.1,https://www.ncbi.nlm.nih.gov/protein/1808633725
3974181,ORF8,ORF8 protein,QHU36870.1,https://www.ncbi.nlm.nih.gov/protein/1805293663
3974181,ORF8,ORF8 protein,QHN73801.1,https://www.ncbi.nlm.nih.gov/protein/1800242647
3974181,ORF8,ORF8 protein,BCA25680.1,https://www.ncbi.nlm.nih.gov/protein/1807816356
3974181,ORF8,ORF8 protein,QIA98612.1,https://www.ncbi.nlm.nih.gov/protein/1809484512
3974181,ORF8,ORF8 protein,BBW89523.1,https://www.ncbi.nlm.nih.gov/protein/1806500542
3974181,ORF8,ORF8 protein,QHZ00385.1,https://www.ncbi.nlm.nih.gov/protein/1807860447
3974181,ORF8,ORF8 protein,BCA25660.1,https://www.ncbi.nlm.nih.gov/protein/1807816334
3974181,ORF8,ORF8 protein,BCA25670.1,https://www.ncbi.nlm.nih.gov/protein/1807816345
3974179,ORF6,ORF6 protein,QHR84453.1,https://www.ncbi.nlm.nih.gov/protein/1803016610
3974179,ORF6,ORF6 protein,QHU36848.1,https://www.ncbi.nlm.nih.gov/protein/1805293639
3974179,ORF6,ORF6 protein,BBW89521.1,https://www.ncbi.nlm.nih.gov/protein/1806500540
3974179,ORF6,ORF6 protein,QHU36868.1,https://www.ncbi.nlm.nih.gov/protein/1805293661
3974179,ORF6,ORF6 protein,QIA98610.1,https://www.ncbi.nlm.nih.gov/protein/1809484510
3974179,ORF6,ORF6 protein,BCA25658.1,https://www.ncbi.nlm.nih.gov/protein/1807816332
3974179,ORF6,ORF6 protein,QHU36838.1,https://www.ncbi.nlm.nih.gov/protein/1805293628
3974179,ORF6,ORF6 protein,QHU36828.1,https://www.ncbi.nlm.nih.gov/protein/1805293617
3974179,ORF6,ORF6 protein,QHZ00383.1,https://www.ncbi.nlm.nih.gov/protein/1807860445
3974179,ORF6,ORF6 protein,QHN73799.1,https://www.ncbi.nlm.nih.gov/protein/1800242645
3974179,ORF6,ORF6 protein,BCA25648.1,https://www.ncbi.nlm.nih.gov/protein/1807816321
3974179,ORF6,ORF6 protein,QHU36858.1,https://www.ncbi.nlm.nih.gov/protein/1805293650
3974179,ORF6,ORF6 protein,QIA98600.1,https://www.ncbi.nlm.nih.gov/protein/1809484499
3974179,ORF6,ORF6 protein,QHN73814.1,https://www.ncbi.nlm.nih.gov/protein/1800242667
3974179,ORF6,ORF6 protein,QHU79177.1,https://www.ncbi.nlm.nih.gov/protein/1805599848
3974179,ORF6,ORF6 protein,BCA25678.1,https://www.ncbi.nlm.nih.gov/protein/1807816354
